signature,unit_signature,mineral_id,mineral,rock_count
10155,3385,riccite,Riccite,3
10200,3400,lindinium,Lindinium,3
10620,3540,beryl,Beryl,3
10665,3555,taranite,Taranite,3
10710,3570,borase,Borase,3
10755,3585,gold,Gold,3
10800,3600,bexalite,Bexalite,3
11475,3825,laranite,Laranite,3
11520,3840,aslarite,Aslarite,3
11565,3855,titanium,Titanium,3
11610,3870,tungsten,Tungsten,3
11655,3885,agricium,Agricium,3
11700,3900,torite,Torite,3
12540,4180,hephaestanite,Hephaestanite,3
12585,4195,tin,Tin,3
12630,4210,quartz,Quartz,3
12675,4225,corundum,Corundum,3
12680,3170,quantainium,Quantainium,4
12720,4240,copper,Copper,3
12740,3185,stileron,Stileron,4
12765,4255,silicon,Silicon,3
12800,3200,savrilium,Savrilium,4
12810,4270,iron,Iron,3
12855,4285,aluminium,Aluminium,3
12900,4300,ice,Ice,3
13480,3370,ouratite,Ouratite,4
13540,3385,riccite,Riccite,4
13600,3400,lindinium,Lindinium,4
14160,3540,beryl,Beryl,4
14220,3555,taranite,Taranite,4
14280,3570,borase,Borase,4
14340,3585,gold,Gold,4
14400,3600,bexalite,Bexalite,4
15300,3825,laranite,Laranite,4
15360,3840,aslarite,Aslarite,4
15420,3855,titanium,Titanium,4
15480,3870,tungsten,Tungsten,4
15540,3885,agricium,Agricium,4
15600,3900,torite,Torite,4
15850,3170,quantainium,Quantainium,5
15925,3185,stileron,Stileron,5
16000,3200,savrilium,Savrilium,5
16720,4180,hephaestanite,Hephaestanite,4
16780,4195,tin,Tin,4
16840,4210,quartz,Quartz,4
16850,3370,ouratite,Ouratite,5
16900,4225,corundum,Corundum,4
16925,3385,riccite,Riccite,5
16960,4240,copper,Copper,4
17000,3400,lindinium,Lindinium,5
17020,4255,silicon,Silicon,4
17080,4270,iron,Iron,4
17140,4285,aluminium,Aluminium,4
17200,4300,ice,Ice,4
17700,3540,beryl,Beryl,5
17775,3555,taranite,Taranite,5
17850,3570,borase,Borase,5
17925,3585,gold,Gold,5
18000,3600,bexalite,Bexalite,5
19020,3170,quantainium,Quantainium,6
19110,3185,stileron,Stileron,6
19125,3825,laranite,Laranite,5
19200,3840,aslarite,Aslarite,5
19200,3200,savrilium,Savrilium,6
19275,3855,titanium,Titanium,5
19350,3870,tungsten,Tungsten,5
19425,3885,agricium,Agricium,5
19500,3900,torite,Torite,5
20220,3370,ouratite,Ouratite,6
20310,3385,riccite,Riccite,6
20400,3400,lindinium,Lindinium,6
20900,4180,hephaestanite,Hephaestanite,5
20975,4195,tin,Tin,5
21050,4210,quartz,Quartz,5
21125,4225,corundum,Corundum,5
21200,4240,copper,Copper,5
21240,3540,beryl,Beryl,6
21275,4255,silicon,Silicon,5
21330,3555,taranite,Taranite,6
21350,4270,iron,Iron,5
21420,3570,borase,Borase,6
21425,4285,aluminium,Aluminium,5
21500,4300,ice,Ice,5
21510,3585,gold,Gold,6
21600,3600,bexalite,Bexalite,6
22190,3170,quantainium,Quantainium,7
22295,3185,stileron,Stileron,7
22400,3200,savrilium,Savrilium,7
22950,3825,laranite,Laranite,6
23040,3840,aslarite,Aslarite,6
23130,3855,titanium,Titanium,6
23220,3870,tungsten,Tungsten,6
23310,3885,agricium,Agricium,6
23400,3900,torite,Torite,6
23590,3370,ouratite,Ouratite,7
23695,3385,riccite,Riccite,7
23800,3400,lindinium,Lindinium,7
24780,3540,beryl,Beryl,7
24885,3555,taranite,Taranite,7
24990,3570,borase,Borase,7
25080,4180,hephaestanite,Hephaestanite,6
25095,3585,gold,Gold,7
25170,4195,tin,Tin,6
25200,3600,bexalite,Bexalite,7
25260,4210,quartz,Quartz,6
25350,4225,corundum,Corundum,6
25360,3170,quantainium,Quantainium,8
25440,4240,copper,Copper,6
25480,3185,stileron,Stileron,8
25530,4255,silicon,Silicon,6
25600,3200,savrilium,Savrilium,8
25620,4270,iron,Iron,6
25710,4285,aluminium,Aluminium,6
25800,4300,ice,Ice,6
26775,3825,laranite,Laranite,7
26880,3840,aslarite,Aslarite,7
26960,3370,ouratite,Ouratite,8
26985,3855,titanium,Titanium,7
27080,3385,riccite,Riccite,8
27090,3870,tungsten,Tungsten,7
27195,3885,agricium,Agricium,7
27200,3400,lindinium,Lindinium,8
27300,3900,torite,Torite,7
28320,3540,beryl,Beryl,8
28440,3555,taranite,Taranite,8
28530,3170,quantainium,Quantainium,9
28560,3570,borase,Borase,8
28665,3185,stileron,Stileron,9
28680,3585,gold,Gold,8
28800,3600,bexalite,Bexalite,8
28800,3200,savrilium,Savrilium,9
29260,4180,hephaestanite,Hephaestanite,7
29365,4195,tin,Tin,7
29470,4210,quartz,Quartz,7
29575,4225,corundum,Corundum,7
29680,4240,copper,Copper,7
29785,4255,silicon,Silicon,7
29890,4270,iron,Iron,7
29995,4285,aluminium,Aluminium,7
30100,4300,ice,Ice,7
30330,3370,ouratite,Ouratite,9
30465,3385,riccite,Riccite,9
30600,3825,laranite,Laranite,8
30600,3400,lindinium,Lindinium,9
30720,3840,aslarite,Aslarite,8
30840,3855,titanium,Titanium,8
30960,3870,tungsten,Tungsten,8
31080,3885,agricium,Agricium,8
31200,3900,torite,Torite,8
31700,3170,quantainium,Quantainium,10
31850,3185,stileron,Stileron,10
31860,3540,beryl,Beryl,9
31995,3555,taranite,Taranite,9
32000,3200,savrilium,Savrilium,10
32130,3570,borase,Borase,9
32265,3585,gold,Gold,9
32400,3600,bexalite,Bexalite,9
33440,4180,hephaestanite,Hephaestanite,8
33560,4195,tin,Tin,8
33680,4210,quartz,Quartz,8
33700,3370,ouratite,Ouratite,10
33800,4225,corundum,Corundum,8
33850,3385,riccite,Riccite,10
33920,4240,copper,Copper,8
34000,3400,lindinium,Lindinium,10
34040,4255,silicon,Silicon,8
34160,4270,iron,Iron,8
34280,4285,aluminium,Aluminium,8
34400,4300,ice,Ice,8
34425,3825,laranite,Laranite,9
34560,3840,aslarite,Aslarite,9
34695,3855,titanium,Titanium,9
34830,3870,tungsten,Tungsten,9
34965,3885,agricium,Agricium,9
35100,3900,torite,Torite,9
35400,3540,beryl,Beryl,10
35550,3555,taranite,Taranite,10
35700,3570,borase,Borase,10
35850,3585,gold,Gold,10
36000,3600,bexalite,Bexalite,10
37620,4180,hephaestanite,Hephaestanite,9
37755,4195,tin,Tin,9
37890,4210,quartz,Quartz,9
38025,4225,corundum,Corundum,9
38160,4240,copper,Copper,9
38250,3825,laranite,Laranite,10
38295,4255,silicon,Silicon,9
38400,3840,aslarite,Aslarite,10
38430,4270,iron,Iron,9
38550,3855,titanium,Titanium,10
38565,4285,aluminium,Aluminium,9
38700,4300,ice,Ice,9
38700,3870,tungsten,Tungsten,10
38850,3885,agricium,Agricium,10
39000,3900,torite,Torite,10
41800,4180,hephaestanite,Hephaestanite,10
41950,4195,tin,Tin,10
42100,4210,quartz,Quartz,10
42250,4225,corundum,Corundum,10
42400,4240,copper,Copper,10
42550,4255,silicon,Silicon,10
42700,4270,iron,Iron,10
42850,4285,aluminium,Aluminium,10
43000,4300,ice,Ice,10
